question,answer,tag
What returns can I expect with only ₹ 500?,"Whether one invests ₹ 500 or ₹ 5 crores, the returns are the same. Confused?

Not if you consider the returns on a percentage basis. For example, if a scheme has returns of 12% per annum, then an investment of ₹ 500 would grow to ₹ 627.20 in two years. An investment of ₹ 100,000 in the same scheme would be ₹ 1,25,440 during the same period. While the rate of appreciation is the same in both cases, only the final amounts differ because of difference in initial investments.

We need to bear two things in mind here. Returns in percentage terms is the same for any amount invested. However, a larger amount invested at the start would result in larger absolute gains.

All of this should not distract an investor from making a start. That is the most important act in investing.",INR ₹ 500 se toh sirf shuruwaat hai
How should I choose whether to go for SIP or Lumpsum?,"Invest in SIP or a one-time investment (lumpsum)? Choosing one depends on your familiarity with Mutual Funds, the fund you want to invest in and your goal. If you want to invest regularly to accumulate sufficient capital for a goal, invest in a suitable equity scheme through SIP. Like, if you want to save from your monthly income and put it in an option where you can grow your money significantly so that in the long run it’ll be sufficient to fund your child’s higher education, SIP is the answer. Seek help from a financial expert if needed.

If you have surplus cash now, like - bonus, proceeds from property sale or retirement corpus, but unsure how to use it, go for lumpsum investment in a debt or liquid fund. SIPs are advisable for investing in equity-oriented schemes while lumpsums are better suited for debt funds. If you are new to investing in Mutual Funds, SIPs are meant for you. SIPs need sufficiently long-time horizons to prove beneficial. You may invest in lumpsum if the market has been following an upward trend and you think it’ll continue for long. SIPs are best suited for a widely fluctuating market phase.",INR ₹ 500 se toh sirf shuruwaat hai
What is Systematic Investment Plan (SIP)?,"Systematic Investment Plan (SIP) is an investment route offered by Mutual Funds wherein one can invest a fixed amount in a Mutual Fund scheme at regular intervals– say once a month or once a quarter, instead of making a lump-sum investment. The installment amount could be as little as INR 500 a month and is similar to a recurring deposit. It’s convenient as you can give your bank standing instructions to debit the amount every month.

SIP has been gaining popularity among Indian MF investors, as it helps in investing in a disciplined manner without worrying about market volatility and timing the market. Systematic Investment Plans offered by Mutual Funds are easily the best way to enter the world of investments for the long term. It is very important to invest for the long-term, which means that you should start investing early, in order to maximize the end returns. So your mantra should be - Start Early, Invest Regularly to get the best out of your investments.",INR ₹ 500 se toh sirf shuruwaat hai
What is the co-relation between risk and return?,"In Mutual Funds, one often hears, ‘more the risk, more the return’. Is there truth in this?

If ‘risk’ is measured as either, probability of loss of capital or as swings and fluctuations in investment value, then asset classes like equity are undoubtedly the riskiest, and money in a savings bank account or in a government bond is of course least risky.

In the Mutual Fund universe, a liquid fund is least risky and an equity fund is most risky.

So, the only reason to invest in equity would be an expectation of higher reward. However, higher returns come to those who invest in equity after careful study and adopting a patient, long term time horizon. In fact, risk in equity can be mitigated by adopting diversification as well having a longer term time horizon.

Every category of mutual fund schemes have different types of risks – credit risk, interest rate risk, liquidity risk, market/price risk, business risk, event risk, regulatory risk, etc. The knowledge of financial experts like your mutual fund distributor / investment advisor and the fund manager, along with diversification, can help mitigate them.",Mutual Fund Returns
Why don't Mutual Funds give a fixed rate of return like a saving account or FD?,"The returns in a Mutual Fund portfolio are a function of many things, like the avenues one has invested in, the way various markets move, the ability of the fund management team, and the investment period.

Since many of these factors are uncertain, the returns cannot be guaranteed, unlike a fixed deposit where these factors are absent, at least to some extent.

With a fixed deposit – the returns are FIXED only for a FIXED period. These returns and the period, both are decided by the issuer company and not by the depositor. Hence, if one wants to invest money for six years and a deposit is available for five years, the returns are known only for the first five years, but not for the entire six-year period. Thus, the investment returns are known only in case of guaranteed return products, where the product maturity and investor’s time horizon are matching perfectly.

In all other cases, the investment returns are unknown over the investor’s investment horizon.",Mutual Fund Returns
Can Mutual Funds help create wealth?,"Business and commerce allows us to create wealth by investing our money with those who are on the path to creating wealth. We can be investors in businesses of entrepreneurs, by investing in stocks of various companies. As the entrepreneurs and the managers run their businesses efficiently and profitably, the shareholders get the benefits. In this regard, Mutual Fund are a great way to build wealth.

But how do we know which stocks to buy, and when?

That is where taking professional help counts. They also take the advantage of a large corpus to explore more opportunities simultaneously. Like a balanced diet – we all need proteins, vitamins, carbohydrates, etc. Eating only one type results in some nutrient deficiency. Similarly, in a diversified equity fund you’re exposed to different segments of the economy, and also protected from the potential downside.

Invest in a professionally managed, diversified equity fund and stay invested for long period to create wealth for yourself and your next generation.",Mutual Fund Returns
How should one compare the performance of any two schemes,"When you want to buy a car, how do you shortlist the models? Do you first pick up the latest models or decide the type of car? If you are still unsure, you visit a dealer and the first question you are asked is what type of car are you looking for e.g SUV, hatchback, sedan? 

The same goes with the performance comparison of Mutual Fund schemes. You can’t compare performance of schemes belonging to different categories. Schemes from the same category having similar investment objective, asset allocation, and same benchmark index must be compared. Just like you can’t compare an SUV with a sedan because of the way both are designed to suit different needs, schemes designed for different investment objectives may be carrying different risk levels. But when you compare two schemes following the same benchmark it is like comparing the performance of two cars designed with the same engine system. It is fine to compare two bluechip funds or two small cap funds, but you shouldn’t compare the performance of a bluechip fund to that of a small cap fund even if both are equity schemes. Also, within the same category, you should compare performance over the same period just like you shouldn’t compare the mileage of a car running in a city versus that on a highway. ",Mutual Fund Returns
What kind of returns should one expect from Mutual Funds?,"Imagine asking: At what speed do vehicles run?

Can you generalize the answer for the whole category? Different vehicles run at different speeds – even within one category, e.g. cars, while a car made for city roads may run at a certain maximum speed, the one made for racing can run much faster.

There is not one product called Mutual Fund, there are many types of different Mutual Funds. The investment returns from the different categories could vary and then there are certain fund categories that exhibit higher level of uncertainty in performance.

If the fund invests in a market where prices fluctuate a lot, the Net Asset Value (NAV) of the fund is likely to witness huge fluctuations (e.g. growth funds investing in equity market); however, if it invests in a market where prices do not fluctuate much, the Net Asset Value (NAV) of the fund would be quite stable (e.g. liquid funds investing in money market). In other terms, a liquid fund would exhibit far lower uncertainty in comparison to an equity fund.

An investor would be advised to focus on the characteristic nature of the fund and match the same with one’s own requirements.",Mutual Fund Returns
Why do Debt Funds offer lower returns as compared to Equity Mutual Funds?,"Returns from Mutual Funds depend on the kind of investment it makes, and the risks associated with these investments. The taste of a cake differs from that of a samosa because both are made up of different ingredients and are prepared differently. Similarly, equity mutual funds and Fixed Income Funds offer different kinds of returns because of the kind of securities that make up their portfolio and the way these securities generate their returns.

Fixed income funds invest in interest paying securities like bonds, debentures and money market instruments. These securities promise to pay a fixed interest at regular intervals to these Mutual Funds. The rate is closely linked to the prevailing lending rates in the market. Since the issuers of these securities may fail to fulfill their promise, they promise to pay higher periodic interest than current lending rates as a compensation for the risk in such investments. A well-established corporate is likely to offer lower interest (lower risk premium) on its bonds as compared to a rookie company because its bonds carry a higher credit rating than the newer firm.

Returns from an investment are directly linked to the risk involved. Usually debt securities are considered less risky than equities. Thus, lower risk investments like fixed income funds will offer lower returns unlike equity funds",Mutual Fund Returns
How can one track a Mutual Fund performance?,"In this digital and information age, it has become relatively easy to keep track of investment and portfolio performance. While financial experts like mutual fund distributors or investment advisors are irreplaceable partners in your financial journey, it is best for investors to have a little knowledge about their own investments. Don’t worry, you don’t have to sit with mind-boggling spread-sheets and graphs.

Anyone who has invested through an advisor or intermediary usually gets updates and review statements that track portfolio and scheme performance. Even in the absence of such statements, there are several websites and mobile apps that keep track of scheme performance. Some such sites can be customized to track a particular portfolio. Popular business papers also regularly review and comment on Mutual Funds.

Additionally, you can track your investments using Fund Fact Sheet. It is a basic one-page document that gives an overview of a Mutual Fund scheme with special emphasis on disclosure of scheme performance and portfolio and is published every month by each Mutual Fund. It is like a report card that indicates the health of the scheme.

The infographic on the left shows you what a Fact Sheet contains.",Mutual Fund Returns
How do I get my returns in Mutual Funds?,"Like other asset classes, Mutual Funds returns are calculated by computing appreciation in the value of your investment over a period as compared to the initial investment made. Net Asset Value of Mutual Fund indicates its price and is used in calculating returns from your Mutual Fund investments. Return over a period is calculated as the difference in sale date NAV and purchase date NAV upon  purchase date NAV and converted to percentage by multiplying the result by 100 . Any net dividend* or other income distribution by the fund during the holding period is also added to the capital appreciation while computing total returns.

Capital appreciation in Mutual Funds is reflected by increase in NAV over time. This happens because NAV of a fund is derived from stock prices of companies included in the portfolio of the fund, and the prices fluctuate every day. Change in NAV of a fund over time contributes to the capital appreciation or loss in your holding. View the return performance of your investments in the account statement provided to you by the fund house. This statement captures both your transactions and the return on your investments.

Note: *NAV of a Fund falls to the extent of dividend payout and statutory levy, if any.",Mutual Fund Returns
Are there funds that need me to stay invested for a stipulated time?,"One of the biggest advantages in a Mutual Fund scheme is Liquidity, i.e. ease of converting investment into cash.

Equity Linked Savings Schemes (ELSS), which offer tax benefits under Sec 80C, are required by regulation to ‘lock-in’ units for a period of 3 years, after which, they are free to be redeemed.

There is another category of schemes popularly called as “Fixed Maturity Plans” (FMP’s) where investors need to stay invested for a stipulated period which is pre-defined in the offer document of the scheme. These schemes have an investment duration of anywhere between three months to a few years.

A few open end schemes may however, specify an exit load period. For instance, a scheme may specify that units redeemed with 6 months would attract an exit load of 0.50% at applicable NAV.

One should bear in mind that while there be may some rules and regulations on the minimum time horizon. So, it is best to take the advice of a financial expert to know the appropriate or ideal time horizons for every type of scheme.",Mutual Fund Returns
How soon can I withdraw my money from Mutual Funds?,"Mutual Funds are one of the most liquid assets, i.e. it is one of the easiest to convert into cash. In order to redeem funds through offline mode, the unit holder needs to submit a signed Redemption Request form to the AMC's or the Registrar’s designated office. The form requires details like unit holder’s name, folio number, scheme name, and number of units to redeem. The proceeds from the redemption will be credited to the registered bank account of the first named unit holder.

Mutual Funds can also be purchased and redeemed on the concerned fund’s website. You simply have to log-on to the ‘Online Transaction’ page of the desired Mutual Fund and log-in using your Folio Number and/or the PAN, select the Mutual Fund Scheme and the number of units (or the amount) you wish to redeem and confirm your transaction.

In addition, registrars like CAMS (Computer Age Management Services Pvt. Ltd.), Karvy, etc. offer the option of redeeming Mutual Fund bought from several AMCs. You can download the form online or visit the nearest office. Please note that these agencies might not service all the AMCs.",withdrawing from Mutual Fund 
Are there penalties if I choose to withdraw earlier?,"Every open ended scheme offers liquidity with almost complete freedom, i.e. no restriction on time or amount of redemption. However, a few schemes may specify an Exit Load.

For example, a scheme specifies an exit load of 1%, if redeemed within 1 year. What it means is that, if an investor has invested on April 1, 2016, any redemption done on or before March 31, 2017 would attract a penalty of 1% on the NAV. If an investor redeems on February 1, 2017 with the NAV at ₹ 200, then ₹ 2 would be deducted and only ₹ 198 per unit would be returned to investor.

All information on exit loads are usually mentioned in relevant scheme related documents. For instance, a fund fact sheet or key information memorandum would contain such information.",withdrawing from Mutual Fund 
Who keeps a record of my investments?,"All Mutual Funds in India are regulated by the Securities and Exchange Board of India (SEBI). Mutual Fund regulations clearly define the roles and responsibilities of Asset Management Companies (AMC) and Custodians. It’s vital to remember that every investor has to complete an effective KYC process before investing. Therefore, only bonafide investors with a valid PAN card can invest in Mutual Fund schemes. Such investors also provide bank details so that all redemption proceeds are directly credited to an investors own account.

SEBI also ensures that all AMCs are supervised by a board of trustees, some of whom, have to necessarily be independent individuals. These trustees ensure one more level of safeguards and compliance.

Regulations and safeguards ensure that it can never ever be misappropriated and diverted, and that, no one will run with your money.",withdrawing from Mutual Fund 
When can I withdraw my investment?,"An investment in an open end scheme can be redeemed at any time. Unless it is an investment in an Equity Linked Savings Scheme (ELSS), wherein there is a lock-in of 3 years from date of investment, there are no restrictions on investment redemption.

Investors need to keep in mind any applicable exit load on their investment. Exit loads are charges deducted at the time of redemption, only if applicable. AMCs usually impose an exit load to deter short term or speculative investors from entering a scheme.

Closed end schemes do not offer this, as all units are automatically redeemed on the date of maturity. However, units of closed end schemes are listed at a recognised stock exchange, and investors can sell their units to others only through the exchange.

Mutual funds are one of the most liquid investment avenues in India, and are an ideal asset class for every financial plan.",withdrawing from Mutual Fund 
How do I withdraw my money from Mutual Funds?,"One of the biggest advantages of Mutual Funds is liquidity – the ease of converting an investor’s units into cash.

Mutual Funds, being regulated by Securities and Exchange Board of India (SEBI), have well laid out norms to ensure liquidity. Open end schemes, which comprise of a large majority of schemes, offer liquidity as a major feature. Liquidity is ease of access or conversion of an asset into cash.

Once the redemption is complete, funds are transferred to the designated bank account of the investor, within 3 business days after the redemption was lodged.

However two issues need to be kept in mind. One, there may be an exit load period in certain schemes. In such cases, redemptions before a certain specified period, say 3 months, may attract a nominal load like 0.5% of Asset Value. Fund Managers impose such loads to deter short term investors. Secondly, AMCs may indicate what the minimum amount for redemption is. Investors are advised to read all scheme related documents carefully before investing. ",withdrawing from Mutual Fund 
Is there an advantage in investing in funds with an exit load?,"Let’s consider a Balanced Fund, which aims to provide growth and capital appreciation from the equity portion, and income and stability from the debt portion. This scheme still carries considerable risk, as the portion of equity could be as high as 60%. This is recommended only for investors with a healthy risk appetite and long term time horizon.

The fund management team of such a scheme would ideally want only long term investors who share their conviction of staying invested for a long period, of a minimum of 3 years. Thus the fund may impose an exit load of 1% for all redemptions done before 3 years. In such a case, the fund is not impacting liquidity directly, but is discouraging investors from exiting before a period of 3 years.

The advantage for the scheme would stem from the fact that all investors are aligned to a longer time horizon. This would be a comforting factor for the fund manager, enabling him to pick securities with such a thought in mind. In the fund manager’s view such a strategy would enable better fund performance, as there would be no short term investors and redemptions impacting a long term strategy.",withdrawing from Mutual Fund 
How often can I remove my money?,"An investor has no restriction on redeeming money from an open ended scheme. While there may be an exit load in certain cases, which impacts final amount realised, all open end schemes offer liquidity as a great benefit.

The decision to redeem is totally at investor’s discretion. There are no restrictions on the number of redemptions, or on the amount to be redeemed. There have to be sufficient units in the account to fund redemptions. Scheme documents usually indicate minimum amount that can be redeemed.

Units under lien to a bank or institution cannot be redeemed, unless the lien is removed. Redemptions may be restricted only under extraordinary circumstances, as decided by the Board of Trustees.

Closed end schemes may be redeemed from the AMC only on maturity. However, they do provide a route to liquidity – any time before maturity - by selling units in a recognised exchange.

Redemptions can be made at;

Investor Service Centres (ISCs)
AMC offices
Official Points of Acceptance of Transaction (OPAT)
Through an authorised on-line platform.",withdrawing from Mutual Fund 
Is it Wise for Retirees to Invest in Mutual Funds?,"Retired people usually have their savings and investments locked up in bank FDs, PPFs, gold, real estate, insurance, pension plans etc. Most of these options are difficult to convert to cash immediately. This may lead to undue stress in case of medical or other emergencies. Mutual Funds provide the much-needed liquidity to retirees as they are easy to withdraw and offer better post-tax returns.

Most retired people fear the volatility or fluctuation in returns of Mutual Funds and stay away from them. They should put some part of their retirement corpus in Debt Mutual Funds and go for a Systematic Withdraw Plan (SWP). This will help them earn a regular monthly income from such investments. Debt funds are relatively safer than equity funds as they invest in bonds issued by banks, companies, government bodies and money market instruments (bank CDs, T-bills, Commercial Papers).

SWP in debt funds provides tax efficient returns as compared to bank FDs. Income from FDs/pension plans are taxed at higher effective rates compared to withdrawals under SWP. You can easily stop a SWP or change the withdrawal amount anytime depending on your need unlike in a pension plan. Thus, retirees should include Mutual Funds in their financial plans.",withdrawing from Mutual Fund 
How much of my investment can I withdraw?,"Majority of Mutual Fund schemes are open end schemes, which allow an investor to redeem the entire invested amount without any time restrictions.

Only under few instances  schemes impose a restriction on redemption, under extraordinary circumstances, as decided by the Board of Trustees.

All Equity Linked Savings Schemes (ELSS), that offer tax benefits under Sec 80C, are required to ‘lock-in’ investments for a period of 3 years. However, any dividend declared by these schemes during this period is available as a pay out without restrictions. No other category of schemes can impose such a lock-in. Some may impose an exit-load for premature redemptions, to prevent short term investments from entering a scheme. AMCs may specify minimum amounts that may be submitted. All such information is contained in scheme related documents which is important for an investor to read before investing.

Closed end schemes have a fixed tenure and the AMC does not fund or permit any redemption until termination/conclusion date. However, all closed end funds have their units listed in the stock exchange and an investor seeking liquidity needs to sell units to another buyer at a market determined rate.",withdrawing from Mutual Fund 
Who should invest in Debt Funds?,"If someone asked you, who should eat more of proteins or carbohydrates or vitamins, what would be your answer?

Everyone!

Everybody needs to eat all kinds of nutrients, but the proportion of nutrients will vary for each person depending on age and physical requirements. For instance, growing children need more proteins and carbohydrates than adults. They also need sufficient supply of energy-rich carbohydrates. The same principle applies to your investment portfolio too.

Each person needs to have a mix of equity, debt funds, gold, real-estate and other assets in his/her investment portfolio. But the proportion of each asset will vary for each person. Thus, everyone needs to have some exposure to fixed income assets like Debt funds. Senior citizens need to allocate more of their portfolio to Debt funds than youngsters in their 30s. Amongst the youngsters, a conservative investor who is uncomfortable taking high risk should invest more in Debt funds than his peers who may be more comfortable with the volatile nature of equity investing. As a thumb rule, it is recommended to allocate a proportion of your portfolio equal to your age to fixed income assets like Debt funds. New Mutual Fund investors can also start with debt funds.

Read less",Debt Fund
How do interest rate changes affect my return from Debt Funds?,"Debt Funds invest in fixed income securities like corporate or Government bonds and money market instruments. These securities are interest bearing instruments that pay a fixed interest (coupon rate) to investors at regular intervals and pay the invested amount (principal) at maturity. The prices of these securities are directly affected by interest rate changes. Bond prices and interest rates are inversely proportional.

A bond’s coupon rate is fixed at the time when the bond is first issued at certain price (Face Value). If interest rates fall below the coupon rate, the bond looks more attractive as it carries higher interest than currently available in the market. Hence, demand for such bonds go up, pushing their prices up. If interest rates rise, these bonds look unattractive and their prices fall due to lower demand.

When interest rates rise, prices of fixed income securities fall. This leads to a decline in the NAV of fixed income funds that hold these securities in their portfolio. On the other hand, when interest rates fall, prices of fixed income securities rise, leading to an increase in the NAVs of fixed income funds. Thus, you get a positive return from your fixed income fund investment when interest rates fall and vice-versa.",Debt Fund
Know more about Debt Funds.,"Equity Mutual Funds buy stocks while Debt funds buy debt fund securities like bonds for their portfolio. Securities like bonds aare issued by corporates such as power utilities, banks, housing finance and the Government. They issue bonds with fixed interest rate to raise money from the public (investors) instead of taking a loan for new projects. Bonds are a promise to pay periodic fixed interest to investors who buy them.

When investors buy bonds with a maturity of a few years, they are lending their money to the issuer (say ABC Power Ltd.) for those many years. ABC promises to pay periodic interest to its investors during this time in return for the money they have invested in its bonds (=money lent to ABC). ABC is the borrower like a customer taking a home loan. The investor (your Mutual Fund investing your money) is the lender to ABC just like the bank is a lender to the home loan customer.

Debt fund invests your money in a basket of bonds and other debt fund securities.",Debt Fund
What are Debt Funds?,"A debt fund is a Mutual Fund scheme that invests in fixed income instruments, such as Corporate and Government Bonds, corporate debt securities, and money market instruments etc. that offer capital appreciation. Debt funds are also referred to as Fixed Income Funds or Bond Funds.

A few major advantages of investing in debt funds are low cost structure, relatively stable returns, relatively high liquidity and reasonable safety.

Debt funds are ideal for investors who aim for regular income, but are risk-averse. Debt funds are less volatile and, hence, are less risky than equity funds. If you have been saving in traditional fixed income products like Bank Deposits, and looking for steady returns with low volatility, debt Mutual Funds could be a better option, as they help you achieve your financial goals in a more tax efficient manner and therefore earn better returns.

In terms of operation, debt funds are not entirely different from other Mutual Fund schemes. However, in terms of safety of capital, they score higher than equity Mutual Funds.",Debt Fund
Who should invest in Debt Funds?,"If someone asked you, who should eat more of proteins or carbohydrates or vitamins, what would be your answer?

Everyone!

Everybody needs to eat all kinds of nutrients, but the proportion of nutrients will vary for each person depending on age and physical requirements. For instance, growing children need more proteins and carbohydrates than adults. They also need sufficient supply of energy-rich carbohydrates. The same principle applies to your investment portfolio too.

Each person needs to have a mix of equity, debt funds, gold, real-estate and other assets in his/her investment portfolio. But the proportion of each asset will vary for each person. Thus, everyone needs to have some exposure to fixed income assets like Debt funds. Senior citizens need to allocate more of their portfolio to Debt funds than youngsters in their 30s. Amongst the youngsters, a conservative investor who is uncomfortable taking high risk should invest more in Debt funds than his peers who may be more comfortable with the volatile nature of equity investing. As a thumb rule, it is recommended to allocate a proportion of your portfolio equal to your age to fixed income assets like Debt funds. New Mutual Fund investors can also start with debt funds.",Debt Fund
Where do Debt Funds invest our money?,"Debt Funds invest the money pooled from investors in bonds issued by banks, PSUs, PFIs (Public Financial Institutions), corporates and the Government. These bonds are usually medium to long-term in nature. When a Mutual Fund invests in such bonds, it earns periodic interest from these bonds which contribute to the fund’s total return over time.

Some Debt Funds also invest in money market instruments like T-bills issued by the Government, Commercial Papers, Certificates of Deposits, Bankers’ Acceptance, Bills of Exchange, etc. which are more short-term in nature. These instruments also promise to make fixed interest payments at regular intervals which contribute to the fund’s overall return over time.

While both bonds and money market instruments promise their investors i.e. your Mutual Fund to make regular interest payments in the future, they may fail to meet these obligations under certain circumstances like financial distress. Hence, while Debt Funds are considered more stable than equity funds, they still carry some risk because these issuers may fail to make timely payments which form a significant portion of the fund’s total return.",Debt Fund
Can Debt Funds provide regular income?,"Debt Funds invest their investors’ money in interest-bearing securities like bonds, corporate deposits, G-secs, money market instruments, etc. These bonds are like certificates that carry an obligation on the part of the bond issuer to pay regular interests (coupons) to the bond investors. Thus, debt funds earn regular interest income from such securities held in their portfolio. The interest earned by a debt fund from its bond portfolio can either be distributed among investors or accrued to the fund i.e. added to the fund assets, leading to an increase in NAV. Thus, unlike equity funds which depend on divided distribution from their portfolio of stocks, debt funds have a regular interest income, from the underlying portfolio, built into their features.

As an investor, you can opt for a dividend payout option if you wish to receive regular income from your debt funds. While the option is named as ‘Dividend Payout’, it distributes the interest income and other capital gains earned from its portfolio at regular intervals. Even though the portfolio of a Debt Fund comprises of interest-paying securities, making its dividend distribution more predictable and regular than that of an Equity Mutual Fund, these dividends are not guaranteed. Dividends are paid only when the fund has a distributable surplus. Talk about distributable surplus and that income will not be regular always.",Debt Fund
What are the different types of Debt Funds?,"Debt Funds are categorized into different types based on the kind of securities they invest in and the maturity (time horizon) of these securities. Debt securities include bonds issued by corporates, banks and Government, debentures issued by big corporates, money market instruments like commercial papers and certificate of deposits (CDs) issued by banks.

Debt Funds are categorized as follows:

Overnight Funds – invest in 1-day maturity papers (securities)
Liquid Funds – invest in money market instruments maturing within 90 days Floating Rate Funds - invest in floating rate debt securities 
Ultra-Short Duration Funds – invest in debt securities maturing in 3-6 months
Low Duration Fund – invest in securities maturing within 6-12 months
Money Market Funds – invest in money market instruments with maturity up to 1 year
Short Duration Funds – invest in securities 1-3 years maturity
Medium Duration Funds – invest in debt securities with 3-4 years maturity
Medium-to-Long Duration Funds - invest in debt securities with 4-7 years maturity
Long-Duration Funds – invest in long maturity debt (over 7 years)
Corporate Bond Funds- invest in corporate bonds
Banking & PSU Funds – invest in debts of banks, PSUs, PFIs
Gilt Funds – invest in Government bonds of varying maturities
Gilt Fund with 10-years Constant Duration – invest in G-secs with 10 year maturity
Dynamic Funds – invest in Debt Funds securities across maturities Credit Risk Funds – invest in corporate bonds below highest ratings",Debt Fund
Are Debt Funds like Fixed Deposits?,"When you park your money in a bank Fixed Deposit (FD), the bank promises to pay fixed interest in return. Here you’ve lent money to the bank, and the bank is a borrower of your money, owes you a fixed periodic interest. Debt Mutual Funds invest in debt securities like Government bonds, Company bonds, Money market securities. Bonds are issued by corporates like power companies, banks, home finance companies and the Government. These bond issuers promise to pay their investors (those who buy their bonds), a periodic interest in return for their money invested in the bonds.

Bond issuers are like the bank (borrower) in our FD example, borrowing money from investors and promising to pay periodic interest. While you are the investor in a bank FD, Debt Funds  are the investors in these bonds. Just like you earn interest from an FD, Debt Funds earn periodic interests from their bond’s portfolio. Unlike assured interest from FDs, periodic interest payments to fixed income Debt Funds from these bonds can be fixed or variable without any guarantee. When they sell bonds from their portfolio, they get the principal back. When you invest in a Fixed Income Mutual Fund, you indirectly invest in its bond portfolio, spreading the risk across different bond issuers. You benefit from such risk diversification.",Debt Fund
